Participant,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15
ACE,,,,12.13296,14.48463,7.39327,4.82125,6.80476,7.0566,9.59207,11.63163,5.98594,,5.60279,8.96991
Adada,,15.43082,18.36691,10.50928,10.08012,7.6238,4.72888,5.39357,6.62416,8.01443,11.13655,5.77786,3.63788,7.00961,8.91092
Alastair Muir,,7.31241,19.33883,13.61184,16.67495,10.07587,,,8.36147,9.81519,13.13633,8.97154,5.4082,,17.5325
Andrew Landgraf,7.18501,8.20458,23.81905,14.36502,10.10896,8.41797,6.25219,7.2248,11.16375,9.94031,11.02036,5.69198,6.11759,11.06773,13.39854
Benchmark - Load,,,24.78756,18.73837,22.75848,13.21626,8.36256,10.91619,16.99368,13.40383,17.31505,13.83743,6.42372,10.93798,34.06848
Bidong Liu,4.33969,6.38714,19.9675,16.42152,11.86545,9.37328,5.62119,7.7387,6.55364,9.1406,11.34854,6.5096,4.80312,6.96974,10.89353
C3 Green Team,,,,,,7.96374,4.63697,6.45434,8.37988,10.55462,10.66094,5.88671,4.48664,5.93956,10.39173
Christopher Benfield,,,,,11.13242,9.43774,4.90967,7.41836,19.73247,9.22147,11.43846,6.63946,4.59656,6.50024,10.8633
Dao Vu,,,,33.37111,13.33397,10.42999,6.08153,9.07058,8.70981,,18.48688,7.40645,5.74136,10.34313,23.56586
E.S. Mangalova,,,,,,7.80254,4.40958,6.633,6.23063,10.15112,10.92943,6.22241,4.23817,6.5464,8.80798
Jingrui (Rain) Xie,3.91286,5.69055,18.30426,11.86999,10.92495,8.49377,4.96105,7.4442,6.99209,9.05232,11.26001,5.48635,3.36018,5.9011,9.73161
Manuel Oviedo de la Fuente,,,33.90169,12.55024,21.45912,10.15928,5.46468,9.30719,7.61018,8.83609,12.63396,12.39687,15.52252,6.52214,18.77543
OxMath,6.10308,10.53287,23.77843,,8.91363,7.60592,4.45478,7.29439,7.45508,7.95274,10.24441,5.45513,4.21107,6.40539,9.55195
Rasmus Paivarinta,,,,,11.74743,9.72295,7.70781,,7.1793,8.43911,10.93568,6.38554,4.37957,6.37941,11.78714
SAOR,,,,,,,6.85123,8.68985,6.76531,12.14267,11.62609,6.73096,,5.96986,21.27106
Sniper,,10.57926,21.73996,,10.3056,8.34927,5.66392,8.30737,6.95992,10.88475,13.49365,7.88766,5.35143,6.47702,11.19505
Tololo,4.41134,5.64803,22.59906,10.43689,12.52315,8.26945,4.42197,5.89763,6.18782,7.3182,10.80323,5.44694,3.96128,6.31729,8.47866
Trevor Maynor,7.10607,8.07112,24.2943,18.69337,19.44219,12.60705,5.56314,10.92983,13.95941,10.86571,14.46474,7.28585,6.28504,8.58808,17.47027
Xiaorong (Iris) Sun,,,20.07828,13.87789,12.39786,10.36719,,8.19792,20.5364,11.28079,12.63158,6.68209,4.49069,6.23632,10.16235
dmlab,,,13.4659,14.4091,14.0059,9.21275,5.90994,6.66754,6.90455,10.013,11.02008,7.85076,3.8128,6.64743,26.66553
nikolina,,11.70012,25.70464,,19.22083,10.62141,5.82568,9.53863,7.1234,10.09477,12.53752,5.81385,4.80596,8.49561,
pat1,,6.40359,15.00843,19.38981,10.50969,9.14772,9.70232,7.04276,7.87942,8.86098,12.81791,5.54429,5.07299,6.58464,11.21424
